protocol	srcIP	destIP	srcPort	destPort	srcPkts	destPkts	srcBytes	destBytes	proto
2	111.186.123.175	224.0.0.251	5353	5353	86	0	18927	0	8
2	111.186.123.183	239.255.255.250	64776	1900	23	0	7360	0	12
2	111.186.123.113	111.186.123.255	137	137	48	0	4416	0	10
2	172.25.58.94	239.255.255.250	63334	1900	24	0	4296	0	12
2	10.0.3.240	239.255.255.250	42700	1900	12	0	3946	0	12
2	10.0.3.240	239.255.255.250	43896	1900	12	0	3946	0	12
2	10.0.3.240	239.255.255.250	46994	1900	12	0	3946	0	12
2	10.0.3.240	239.255.255.250	54089	1900	12	0	3946	0	12
2	10.0.3.250	10.0.3.255	138	138	16	0	3762	0	10
2	111.186.123.175	111.186.123.255	138	138	14	0	3274	0	10
2	111.186.123.9	111.186.123.255	137	137	34	0	3128	0	10
2	111.186.123.14	111.186.123.255	138	138	13	0	3087	0	10
2	111.186.103.54	111.186.103.255	137	137	30	0	2760	0	10
2	111.186.123.44	111.186.123.255	138	138	11	0	2583	0	10
2	111.186.123.137	111.186.123.255	138	138	10	0	2406	0	10
2	111.186.123.139	111.186.123.255	138	138	10	0	2406	0	10
2	111.186.123.143	111.186.123.255	138	138	10	0	2406	0	10
2	111.186.123.149	111.186.123.255	138	138	10	0	2406	0	10
2	111.186.123.161	111.186.123.255	138	138	10	0	2406	0	10
2	111.186.123.180	111.186.123.255	138	138	10	0	2406	0	10
2	111.186.105.36	224.0.0.251	5353	5353	2	0	2387	0	8
2	111.186.123.191	111.186.123.255	138	138	10	0	2384	0	10
2	111.186.123.32	111.186.123.255	138	138	10	0	2358	0	10
2	111.186.123.145	111.186.123.255	138	138	10	0	2356	0	10
2	111.186.123.104	111.186.123.255	138	138	10	0	2350	0	10
2	111.186.123.83	111.186.123.255	138	138	10	0	2342	0	10
2	111.186.103.103	224.0.0.251	5353	5353	39	0	2340	0	8
2	111.186.123.211	111.186.123.255	138	138	10	0	2326	0	10
2	10.0.3.250	10.0.3.255	137	137	20	0	2200	0	10
2	111.186.123.17	111.186.123.255	137	137	21	0	2148	0	10
2	111.186.123.90	239.255.255.250	50708	1900	15	0	2145	0	12
2	111.186.103.52	111.186.103.255	137	137	23	0	2116	0	10
2	111.186.123.40	239.255.255.250	57437	1900	15	0	2085	0	153
2	111.186.105.82	239.255.255.250	49487	1900	12	0	2056	0	12
2	10.0.3.250	239.255.255.250	52924	1900	6	0	1964	0	12
2	111.186.123.219	224.0.0.251	5353	5353	13	0	1899	0	8
2	111.186.123.163	111.186.123.255	138	138	8	0	1856	0	10
2	10.0.64.51	224.0.0.251	5353	5353	2	0	1838	0	8
2	111.186.123.102	111.186.123.255	138	138	8	0	1816	0	10
2	111.186.123.17	239.255.255.250	64838	1900	10	0	1714	0	12
2	111.186.105.82	111.186.105.255	137	137	15	0	1596	0	10
2	172.25.58.168	239.255.255.250	2250	1900	5	0	1518	0	12
2	172.25.58.113	224.0.0.251	5353	5353	10	0	1482	0	8
2	111.186.123.165	239.255.255.250	55292	1900	3	0	1425	0	12
2	111.186.123.165	239.255.255.250	55297	1900	3	0	1425	0	12
2	111.186.123.165	239.255.255.250	55303	1900	3	0	1425	0	12
2	111.186.123.165	239.255.255.250	55308	1900	3	0	1425	0	12
2	111.186.123.165	239.255.255.250	55536	1900	3	0	1425	0	12
2	111.186.123.165	239.255.255.250	55541	1900	3	0	1425	0	12
2	111.186.123.165	239.255.255.250	60371	1900	3	0	1425	0	12
2	111.186.123.165	239.255.255.250	60376	1900	3	0	1425	0	12
2	111.186.123.165	239.255.255.250	64791	1900	3	0	1425	0	12
2	111.186.123.165	239.255.255.250	64796	1900	3	0	1425	0	12
2	111.186.123.165	239.255.255.250	64802	1900	3	0	1425	0	12
2	111.186.123.165	239.255.255.250	64807	1900	3	0	1425	0	12
2	111.186.103.105	239.255.255.250	55055	1900	3	0	1422	0	12
2	111.186.103.105	239.255.255.250	55060	1900	3	0	1422	0	12
2	111.186.103.105	239.255.255.250	55065	1900	3	0	1422	0	12
2	111.186.103.105	239.255.255.250	55070	1900	3	0	1422	0	12
2	111.186.103.105	239.255.255.250	55079	1900	3	0	1422	0	12
2	111.186.103.105	239.255.255.250	55084	1900	3	0	1422	0	12
2	111.186.103.105	239.255.255.250	58472	1900	3	0	1422	0	12
2	111.186.103.105	239.255.255.250	58477	1900	3	0	1422	0	12
2	111.186.103.105	239.255.255.250	58482	1900	3	0	1422	0	12
2	111.186.103.105	239.255.255.250	58487	1900	3	0	1422	0	12
2	111.186.103.105	239.255.255.250	58492	1900	3	0	1422	0	12
2	111.186.103.105	239.255.255.250	58497	1900	3	0	1422	0	12
2	111.186.123.44	239.255.255.250	52146	1900	3	0	1422	0	12
2	111.186.123.44	239.255.255.250	52151	1900	3	0	1422	0	12
2	111.186.123.44	239.255.255.250	52158	1900	3	0	1422	0	12
